Year,Week,Won Toss,Won OT Toss,Roof,Surface,Duration,Attendance,Weather,Vegas Line,Over/Under,Link,Favorite,Vegas Line,Over/Under (Points)
2015,1,Patriots (deferred),,outdoors,fieldturf ,3:00,"66,829","65 degrees, relative humidity 0%, wind 7 mph, wind chill 0",New England Patriots -7.0,52.0 (under),https://www.pro-football-reference.com/boxscores/201509100nwe.htm,New England Patriots,-7,52
2015,1,Packers (deferred),,outdoors,grass ,3:15,"62,442","72 degrees, relative humidity 39%, wind 11 mph, wind chill 0",Green Bay Packers -6.5,49.0 (over),https://www.pro-football-reference.com/boxscores/201509130chi.htm,Green Bay Packers,-6.5,49
2015,1,Rams (deferred),Rams,dome,astroplay,3:30,"51,792",,Seattle Seahawks -4.0,40.5 (over),https://www.pro-football-reference.com/boxscores/201509130ram.htm,Seattle Seahawks,-4,40.5
2015,1,Dolphins (deferred),,outdoors,grass ,3:00,"76,512","69 degrees, relative humidity 58%, wind 10 mph, wind chill 0",Miami Dolphins -3.0,43.5 (under),https://www.pro-football-reference.com/boxscores/201509130was.htm,Miami Dolphins,-3,43.5
2015,1,Texans (deferred),,retractable roof (closed),grass ,3:16,"71,776",,Houston Texans -1.0,41.0 (over),https://www.pro-football-reference.com/boxscores/201509130htx.htm,Houston Texans,-1,41
2015,1,Colts,,outdoors,a_turf,3:06,"70,319","56 degrees, relative humidity 78%, wind 15 mph, wind chill 0",Indianapolis Colts -2.5,45.0 (under),https://www.pro-football-reference.com/boxscores/201509130buf.htm,Indianapolis Colts,-2.5,45
2015,1,Panthers (deferred),,outdoors,grass ,3:07,"60,733","77 degrees, relative humidity 55%, wind 7 mph, wind chill 0",Carolina Panthers -3.0,40.5 (under),https://www.pro-football-reference.com/boxscores/201509130jax.htm,Carolina Panthers,-3,40.5
2015,1,Browns (deferred),,outdoors,fieldturf ,3:00,"78,160","77 degrees, relative humidity 49%, wind 8 mph, wind chill 0",New York Jets -3.5,39.5 (over),https://www.pro-football-reference.com/boxscores/201509130nyj.htm,New York Jets,-3.5,39.5
2015,1,Chargers (deferred),,outdoors,grass ,3:03,"66,093","84 degrees, relative humidity 47%, wind 10 mph, wind chill 0",San Diego Chargers -2.5,45.5 (over),https://www.pro-football-reference.com/boxscores/201509130sdg.htm,San Diego Chargers,-2.5,45.5
2015,1,Cardinals,,retractable roof (closed),grass ,3:07,"62,903",,Arizona Cardinals -2.0,48.5 (over),https://www.pro-football-reference.com/boxscores/201509130crd.htm,Arizona Cardinals,-2,48.5
2015,1,Buccaneers (deferred),,outdoors,grass ,3:06,"63,945","84 degrees, relative humidity 66%, wind 8 mph",Tampa Bay Buccaneers -3.0,41.0 (over),https://www.pro-football-reference.com/boxscores/201509130tam.htm,Tampa Bay Buccaneers,-3,41
