spread,moneyline
0,100
0.5,107
1,114
1.5,120
2,127
2.5,135
3,143
3.5,152
4,161
4.5,171
5,182
5.5,193
6,205
6.5,217
7,231
7.5,245
8,260
8.5,276
9,293
9.5,311
10,330
10.5,350
11,372
11.5,395
12,419
12.5,445
13,472
13.5,501
14,532
14.5,565
15,599
15.5,636
16,675
16.5,717
17,761
17.5,808
18,858
18.5,910
19,966
19.5,1026
20,1089
20.5,1156
21,1227
21.5,1303
22,1383
22.5,1468
23,1558
23.5,1654
24,1756
24.5,1864
25,1978
25.5,2100
26,2229
26.5,2366
27,2512
27.5,2666
28,2830
28.5,3004
29,3189
29.5,3385
30,3594
30.5,3815
31,4049
