Serial,Year,Week,Game,Pick,Opponent,h?,Spread,Elo,Weighted DVOA,Difference,Weights,Correct?,Points
2016-1-1,2016,1,1,Carolina,Denver,,-3,-2.5,,-0.5,13,no,0
2016-1-2,2016,1,2,Tampa Bay,Atlanta,,2.5,5.5,,-3,2,yes,2
2016-1-3,2016,1,3,Minnesota,Tennessee,,2.5,-6,,8.5,14,yes,14
2016-1-4,2016,1,4,Kansas City,L.A. Rams,,-6.5,-10,,3.5,12,yes,12
2016-1-5,2016,1,5,Oakland,New Orleans,,3,3,,0,6,yes,6
2016-1-6,2016,1,6,N.Y. Jets,Cincinnati,,1,-0.5,,1.5,1,no,0
2016-1-7,2016,1,7,Philadelphia,Cleveland,,-3.5,-6.5,,3,10,yes,10
2016-1-8,2016,1,8,Green Bay,Jacksonville,,-3.5,-5,,1.5,15,yes,15
2016-1-9,2016,1,9,Baltimore,Buffalo,,-3,-1,,-2,8,yes,8
2016-1-10,2016,1,10,Houston,Chicago,,-5.5,-5,,-0.5,7,yes,7
2016-1-11,2016,1,11,Seattle,Miami,,-10.5,-10.5,,0,16,yes,16
2016-1-12,2016,1,12,Dallas,N.Y. Giants,,1,-1.5,,2.5,4,no,0
2016-1-13,2016,1,13,Indianapolis,Detroit,,-2.5,-2,,-0.5,5,no,0
2016-1-14,2016,1,14,Arizona,New England,,-8.5,-3,,-5.5,9,no,0
2016-1-15,2016,1,15,Pittsburgh,Washington,,-2.5,-1,,-1.5,11,yes,11
2016-1-16,2016,1,16,San Francisco,L.A. Rams,,2.5,-1,,3.5,3,yes,3
2016-2-1,2016,2,1,N.Y. Jets,Buffalo,,0,2,,-2,1,yes,1
2016-2-2,2016,2,2,Baltimore,Cleveland,,-4.5,-2,,-2.5,14,yes,14
2016-2-3,2016,2,3,Detroit,Tennessee,,-6,-10,,4,12,no,0
2016-2-4,2016,2,4,New England,Miami,,-5.5,-10,,4.5,15,yes,15
2016-2-5,2016,2,5,N.Y. Giants,New Orleans,,-4,-3.5,,-0.5,9,yes,9
2016-2-6,2016,2,6,Pittsburgh,Cincinnati,,-3,-4,,1,7,yes,7
2016-2-7,2016,2,7,Dallas,Washington,,3,4,,-1,5,yes,5
2016-2-8,2016,2,8,Carolina,San Francisco,,-12.5,-9,,-3.5,16,yes,16
2016-2-9,2016,2,9,Houston,Kansas City,,-1,1.5,,-2.5,6,yes,6
2016-2-10,2016,2,10,Seattle,L.A. Rams,,-5.5,-5,,-0.5,8,no,0
2016-2-11,2016,2,11,Arizona,Tampa Bay,,-7,-9,,2,13,yes,13
2016-2-12,2016,2,12,Denver,Indianapolis,,-6,-9.5,,3.5,11,yes,11
2016-2-13,2016,2,13,Oakland,Atlanta,,-4,-3,,-1,10,no,0
2016-2-14,2016,2,14,L.A. Rams,Jacksonville,,-3,-4.5,,1.5,3,yes,3
2016-2-15,2016,2,15,Minnesota,Green Bay,,2,-2,,4,4,yes,4
2016-2-16,2016,2,16,Philadelphia,Chicago,,3,-0.5,,3.5,2,yes,2
2016-3-1,2016,3,1,Houston,New England,,-1,5,,-6,4,no,0
2016-3-2,2016,3,2,Arizona,Buffalo,,-4,-3,,-1,10,no,0
2016-3-3,2016,3,3,Cincinnati,Denver,,-3.5,0.5,,-4,9,no,0
2016-3-4,2016,3,4,Green Bay,Detroit,,-7,-5.5,,-1.5,14,yes,14
2016-3-5,2016,3,5,Tennessee,Oakland,,1,1,,0,5,no,0
2016-3-6,2016,3,6,Miami,Cleveland,,-10,-5,,-5,15,yes,15
2016-3-7,2016,3,7,N.Y. Giants,Washington,,-3.5,-4,,0.5,11,no,0
2016-3-8,2016,3,8,Minnesota,Carolina,,7,4.5,,2.5,2,yes,2
2016-3-9,2016,3,9,Jacksonville,Baltimore,,-1,3.5,,-4.5,3,no,0
2016-3-10,2016,3,10,Seattle,San Francisco,,-9.5,-8.5,,-1,16,yes,16
2016-3-11,2016,3,11,Tampa Bay,L.A. Rams,,-5,-0.5,,-4.5,12,no,0
2016-3-12,2016,3,12,Indianapolis,L.A. Rams,,-2,-2.5,,0.5,7,yes,7
2016-3-13,2016,3,13,N.Y. Jets,Kansas City,,3,5,,-2,1,no,0
2016-3-14,2016,3,14,Pittsburgh,Philadelphia,,-3.5,-1.5,,-2,8,no,0
2016-3-15,2016,3,15,Dallas,Chicago,,-7.5,-5,,-2.5,13,yes,13
2016-3-16,2016,3,16,New Orleans,Atlanta,,-3,-1,,-2,6,no,0
2016-4-1,2016,4,1,Cincinnati,Miami,,-7,-7,,0,14,yes,14
2016-4-2,2016,4,2,Indianapolis,Jacksonville,,-2,-4.5,,2.5,1,no,0
2016-4-3,2016,4,3,Carolina,Atlanta,,-3,-1,,-2,8,no,0
2016-4-4,2016,4,4,Detroit,Chicago,,-2.5,-2,,-0.5,2,no,0
2016-4-5,2016,4,5,New England,Buffalo,,-5,-8,,3,12,no,0
2016-4-6,2016,4,6,N.Y. Jets,Seattle,,3,1.5,,1.5,3,no,0
2016-4-7,2016,4,7,Washington,Cleveland,,-8,-7,,-1,11,yes,11
2016-4-8,2016,4,8,Oakland,Baltimore,,3.5,5,,-1.5,4,yes,4
2016-4-9,2016,4,9,Houston,Tennessee,,-5,-10.5,,5.5,10,yes,10
2016-4-10,2016,4,10,Denver,Tampa Bay,,-3,-8,,5,6,yes,6
2016-4-11,2016,4,11,Arizona,L.A. Rams,,-8.5,-6,,-2.5,15,no,0
2016-4-12,2016,4,12,L.A. Rams,New Orleans,,-3.5,-3.5,,0,7,no,0
2016-4-13,2016,4,13,Dallas,San Francisco,,-2.5,1.5,,-4,5,yes,5
2016-4-14,2016,4,14,Pittsburgh,Kansas City,,-5.5,-1.5,,-4,13,yes,13
2016-4-15,2016,4,15,Minnesota,N.Y. Giants,,-4.5,-9,,4.5,9,yes,9
2016-5-1,2016,5,1,Arizona,San Francisco,,-4,-2.5,,-1.5,10,yes,10
